fSalesPrimaryKey,ProductID,SalesRepID,Location,Date,Units,PercentOfStandardCost,RevenueDiscount
1,4,6,Germany;Dresden,2.1.2014,145,0.954,0.55
2,9,6,Germany;Dresden,2.1.2014,142,0.954,0.55
3,2,7,Germany;Frankfurt,2.1.2014,135,0.954,0.55
4,10,5,Germany;Berlin,2.1.2014,133,0.954,0.55
5,3,7,Germany;Frankfurt,2.1.2014,133,0.954,0.55
6,9,3,Czech republic;Ostrava,2.1.2014,133,0.954,0.55
7,5,1,Czech republic;Prague,2.1.2014,131,0.954,0.55
8,6,2,Denmark;Copenhagen,2.1.2014,119,0.954,0.55
9,11,7,Germany;Frankfurt,2.1.2014,118,0.954,0.55
10,3,2,Denmark;Copenhagen,2.1.2014,117,0.954,0.55
11,5,2,Denmark;Copenhagen,2.1.2014,117,0.954,0.55
12,6,7,Germany;Frankfurt,2.1.2014,114,0.954,0.55
13,10,4,Germany;Frankfurt,2.1.2014,112,0.954,0.55
14,6,7,Germany;Frankfurt,2.1.2014,99,0.954,0.4
15,3,5,Germany;Berlin,2.1.2014,91,0.954,0.4
16,5,2,Denmark;Copenhagen,2.1.2014,88,0.954,0.4
17,10,7,Germany;Frankfurt,2.1.2014,88,0.954,0.4
18,8,1,Czech republic;Prague,2.1.2014,87,0.954,0.4
19,4,2,Denmark;Copenhagen,2.1.2014,85,0.954,0.4
20,8,2,Denmark;Copenhagen,2.1.2014,84,0.954,0.4
21,5,7,Germany;Frankfurt,2.1.2014,83,0.954,0.4
22,4,7,Germany;Frankfurt,2.1.2014,77,0.954,0.4
23,8,7,Germany;Frankfurt,2.1.2014,74,0.954,0.15
24,3,7,Germany;Frankfurt,2.1.2014,65,0.954,0.15
25,5,3,Czech republic;Brno,2.1.2014,64,0.954,0.15
26,7,5,Germany;Berlin,2.1.2014,61,0.954,0.15
27,8,2,Denmark;Copenhagen,2.1.2014,61,0.954,0.15
28,11,7,Germany;Frankfurt,2.1.2014,44,0.954,0.15
29,9,7,Germany;Frankfurt,2.1.2014,41,0.954,0.15
30,2,6,Germany;Dresden,2.1.2014,37,0.954,0.15
31,5,3,Czech republic;Brno,2.1.2014,36,0.954,0.15
32,1,2,Denmark;Copenhagen,2.1.2014,32,0.954,0.15
33,9,5,Germany;Berlin,2.1.2014,23,0.954,0.01
34,3,5,Germany;Berlin,2.1.2014,16,0.954,0.01
35,5,7,Germany;Frankfurt,2.1.2014,11,0.954,0.01
36,7,5,Germany;Berlin,2.1.2014,7,0.954,0
37,6,1,Czech republic;Prague,3.1.2014,145,0.962,0.55
