fSalesPrimaryKey,ProductID,SalesRepID,Location,Date,Units,PercentOfStandardCost,RevenueDiscount
12249,3,5,Germany;Berlin,2.1.2015,144,0.966,0.55
12250,11,3,Czech republic;Ostrava,2.1.2015,141,0.966,0.55
12251,9,7,Germany;Frankfurt,2.1.2015,139,0.966,0.55
12252,11,5,Germany;Berlin,2.1.2015,133,0.966,0.55
12253,11,2,Denmark;Copenhagen,2.1.2015,130,0.966,0.55
12254,5,1,Czech republic;Prague,2.1.2015,130,0.966,0.55
12255,5,3,Czech republic;Brno,2.1.2015,126,0.966,0.55
12256,8,5,Germany;Berlin,2.1.2015,126,0.966,0.55
12257,1,5,Germany;Berlin,2.1.2015,122,0.966,0.55
12258,2,2,Denmark;Copenhagen,2.1.2015,117,0.966,0.55
12259,9,7,Germany;Frankfurt,2.1.2015,115,0.966,0.55
12260,2,4,Germany;Frankfurt,2.1.2015,111,0.966,0.55
12261,11,2,Denmark;Copenhagen,2.1.2015,110,0.966,0.55
12262,4,7,Germany;Frankfurt,2.1.2015,100,0.966,0.55
12263,10,5,Germany;Berlin,2.1.2015,100,0.966,0.55
12264,4,6,Germany;Dresden,2.1.2015,97,0.966,0.4
12265,7,7,Germany;Frankfurt,2.1.2015,89,0.966,0.4
12266,5,5,Germany;Berlin,2.1.2015,75,0.966,0.15
12267,1,7,Germany;Frankfurt,2.1.2015,74,0.966,0.15
12268,9,5,Germany;Berlin,2.1.2015,66,0.966,0.15
12269,8,1,Czech republic;Prague,2.1.2015,58,0.966,0.15
12270,11,7,Germany;Frankfurt,2.1.2015,50,0.966,0.15
12271,1,6,Germany;Dresden,2.1.2015,48,0.966,0.15
12272,3,7,Germany;Frankfurt,2.1.2015,48,0.966,0.15
12273,6,7,Germany;Frankfurt,2.1.2015,43,0.966,0.15
12274,3,5,Germany;Berlin,2.1.2015,39,0.966,0.15
12275,4,5,Germany;Berlin,2.1.2015,37,0.966,0.15
12276,5,1,Czech republic;Prague,2.1.2015,37,0.966,0.15
12277,10,2,Denmark;Copenhagen,2.1.2015,36,0.966,0.15
12278,11,5,Germany;Berlin,2.1.2015,31,0.966,0.15
12279,6,7,Germany;Frankfurt,2.1.2015,27,0.966,0.15
12280,3,1,Czech republic;Prague,2.1.2015,26,0.966,0.15
12281,4,6,Germany;Dresden,2.1.2015,24,0.966,0.01
12282,5,7,Germany;Frankfurt,2.1.2015,19,0.966,0.01
12283,4,3,Czech republic;Brno,2.1.2015,13,0.966,0.01
12284,5,2,Denmark;Copenhagen,2.1.2015,11,0.966,0.01
12285,7,5,Germany;Berlin,2.1.2015,11,0.966,0.01
12286,8,5,Germany;Berlin,2.1.2015,10,0.966,0
12287,3,7,Germany;Frankfurt,2.1.2015,9,0.966,0
12288,5,5,Germany;Berlin,2.1.2015,3,0.966,0
12289,9,5,Germany;Berlin,3.1.2015,150,0.964,0.55
12290,2,7,Germany;Frankfurt,3.1.2015,150,0.964,0.55
12291,4,1,Czech republic;Prague,3.1.2015,148,0.964,0.55
12292,9,7,Germany;Frankfurt,3.1.2015,148,0.964,0.55
12293,6,3,Czech republic;Brno,3.1.2015,148,0.964,0.55
12294,3,5,Germany;Berlin,3.1.2015,145,0.964,0.55
12295,3,4,Germany;Frankfurt,3.1.2015,143,0.964,0.55
12296,3,5,Germany;Berlin,3.1.2015,139,0.964,0.55
12297,8,7,Germany;Frankfurt,3.1.2015,139,0.964,0.55
12298,3,5,Germany;Berlin,3.1.2015,138,0.964,0.55
12299,4,2,Denmark;Copenhagen,3.1.2015,132,0.964,0.55
12300,2,7,Germany;Frankfurt,3.1.2015,129,0.964,0.55
12301,11,7,Germany;Frankfurt,3.1.2015,127,0.964,0.55
12302,1,5,Germany;Berlin,3.1.2015,126,0.964,0.55
12303,7,4,Germany;Frankfurt,3.1.2015,125,0.964,0.55
12304,4,7,Germany;Frankfurt,3.1.2015,124,0.964,0.55
12305,11,4,Germany;Frankfurt,3.1.2015,121,0.964,0.55
12306,8,7,Germany;Frankfurt,3.1.2015,121,0.964,0.55
12307,11,3,Czech republic;Ostrava,3.1.2015,120,0.964,0.55
12308,8,4,Germany;Frankfurt,3.1.2015,116,0.964,0.55
12309,7,1,Czech republic;Prague,3.1.2015,109,0.964,0.55
12310,5,3,Czech republic;Brno,3.1.2015,108,0.964,0.55
12311,8,7,Germany;Frankfurt,3.1.2015,105,0.964,0.55
12312,2,4,Germany;Frankfurt,3.1.2015,102,0.964,0.55
12313,10,5,Germany;Berlin,3.1.2015,101,0.964,0.55
12314,10,5,Germany;Berlin,3.1.2015,97,0.964,0.4
12315,5,6,Germany;Dresden,3.1.2015,91,0.964,0.4
12316,4,5,Germany;Berlin,3.1.2015,90,0.964,0.4
12317,8,5,Germany;Berlin,3.1.2015,85,0.964,0.4
12318,6,1,Czech republic;Prague,3.1.2015,84,0.964,0.4
12319,8,5,Germany;Berlin,3.1.2015,82,0.964,0.4
12320,6,7,Germany;Frankfurt,3.1.2015,82,0.964,0.4
12321,5,7,Germany;Frankfurt,3.1.2015,80,0.964,0.4
12322,3,7,Germany;Frankfurt,3.1.2015,79,0.964,0.4
12323,9,7,Germany;Frankfurt,3.1.2015,77,0.964,0.4
12324,10,6,Germany;Dresden,3.1.2015,69,0.964,0.15
12325,1,2,Denmark;Copenhagen,3.1.2015,64,0.964,0.15
12326,10,5,Germany;Berlin,3.1.2015,57,0.964,0.15
12327,3,2,Denmark;Copenhagen,3.1.2015,53,0.964,0.15
12328,9,2,Denmark;Copenhagen,3.1.2015,51,0.964,0.15
12329,7,5,Germany;Berlin,3.1.2015,45,0.964,0.15
12330,4,4,Germany;Frankfurt,3.1.2015,44,0.964,0.15
12331,3,3,Czech republic;Brno,3.1.2015,44,0.964,0.15
12332,8,7,Germany;Frankfurt,3.1.2015,43,0.964,0.15
12333,9,7,Germany;Frankfurt,3.1.2015,41,0.964,0.15
12334,7,4,Germany;Frankfurt,3.1.2015,40,0.964,0.15
12335,9,2,Denmark;Copenhagen,3.1.2015,37,0.964,0.15
12336,2,5,Germany;Berlin,3.1.2015,37,0.964,0.15
12337,5,5,Germany;Berlin,3.1.2015,36,0.964,0.15
12338,7,3,Czech republic;Ostrava,3.1.2015,33,0.964,0.15
12339,5,1,Czech republic;Prague,3.1.2015,22,0.964,0.01
12340,10,6,Germany;Dresden,3.1.2015,21,0.964,0.01
12341,4,7,Germany;Frankfurt,3.1.2015,18,0.964,0.01
12342,9,5,Germany;Berlin,3.1.2015,18,0.964,0.01
12343,1,3,Czech republic;Brno,3.1.2015,13,0.964,0.01
12344,10,5,Germany;Berlin,3.1.2015,10,0.964,0
12345,7,5,Germany;Berlin,3.1.2015,6,0.964,0
12346,5,5,Germany;Berlin,3.1.2015,5,0.964,0
12347,7,7,Germany;Frankfurt,3.1.2015,4,0.964,0
12348,9,7,Germany;Frankfurt,3.1.2015,3,0.964,0
12349,1,5,Germany;Berlin,6.1.2015,149,0.97,0.55
12350,2,5,Germany;Berlin,6.1.2015,144,0.97,0.55
12351,3,7,Germany;Frankfurt,6.1.2015,139,0.97,0.55
12352,6,4,Germany;Frankfurt,6.1.2015,136,0.97,0.55
12353,1,6,Germany;Dresden,6.1.2015,135,0.97,0.55
12354,5,3,Czech republic;Brno,6.1.2015,134,0.97,0.55
12355,9,4,Germany;Frankfurt,6.1.2015,131,0.97,0.55
12356,8,5,Germany;Berlin,6.1.2015,131,0.97,0.55
12357,4,5,Germany;Berlin,6.1.2015,129,0.97,0.55
12358,9,6,Germany;Dresden,6.1.2015,129,0.97,0.55
12359,4,7,Germany;Frankfurt,6.1.2015,128,0.97,0.55
12360,5,5,Germany;Berlin,6.1.2015,125,0.97,0.55
12361,7,7,Germany;Frankfurt,6.1.2015,125,0.97,0.55
12362,8,6,Germany;Dresden,6.1.2015,122,0.97,0.55
12363,2,3,Czech republic;Brno,6.1.2015,118,0.97,0.55
12364,10,5,Germany;Berlin,6.1.2015,115,0.97,0.55
12365,9,7,Germany;Frankfurt,6.1.2015,114,0.97,0.55
12366,8,3,Czech republic;Ostrava,6.1.2015,113,0.97,0.55
12367,2,7,Germany;Frankfurt,6.1.2015,112,0.97,0.55
12368,10,5,Germany;Berlin,6.1.2015,108,0.97,0.55
12369,2,5,Germany;Berlin,6.1.2015,107,0.97,0.55
12370,7,5,Germany;Berlin,6.1.2015,106,0.97,0.55
12371,5,5,Germany;Berlin,6.1.2015,105,0.97,0.55
12372,9,3,Czech republic;Ostrava,6.1.2015,103,0.97,0.55
12373,7,3,Czech republic;Ostrava,6.1.2015,99,0.97,0.4
12374,4,5,Germany;Berlin,6.1.2015,99,0.97,0.4
12375,8,5,Germany;Berlin,6.1.2015,98,0.97,0.4
12376,5,6,Germany;Dresden,6.1.2015,98,0.97,0.4
12377,3,2,Denmark;Copenhagen,6.1.2015,88,0.97,0.4
12378,8,7,Germany;Frankfurt,6.1.2015,82,0.97,0.4
12379,9,7,Germany;Frankfurt,6.1.2015,81,0.97,0.4
12380,5,4,Germany;Frankfurt,6.1.2015,80,0.97,0.4
12381,8,2,Denmark;Copenhagen,6.1.2015,80,0.97,0.4
12382,11,7,Germany;Frankfurt,6.1.2015,79,0.97,0.4
12383,11,5,Germany;Berlin,6.1.2015,77,0.97,0.4
12384,4,5,Germany;Berlin,6.1.2015,74,0.97,0.15
12385,10,3,Czech republic;Ostrava,6.1.2015,72,0.97,0.15
12386,10,5,Germany;Berlin,6.1.2015,66,0.97,0.15
