fSalesPrimaryKey,ProductID,SalesRepID,Location,Date,Units,PercentOfStandardCost,RevenueDiscount
24749,2,2,Denmark;Copenhagen,1.1.2016,149,0.963,0.55
24750,5,4,Germany;Frankfurt,1.1.2016,145,0.963,0.55
24751,4,2,Denmark;Copenhagen,1.1.2016,142,0.963,0.55
24752,1,1,Czech republic;Prague,1.1.2016,141,0.963,0.55
24753,4,7,Germany;Frankfurt,1.1.2016,141,0.963,0.55
24754,1,6,Germany;Dresden,1.1.2016,138,0.963,0.55
24755,5,5,Germany;Berlin,1.1.2016,132,0.963,0.55
24756,3,7,Germany;Frankfurt,1.1.2016,131,0.963,0.55
24757,9,6,Germany;Dresden,1.1.2016,131,0.963,0.55
24758,8,1,Czech republic;Prague,1.1.2016,129,0.963,0.55
24759,8,7,Germany;Frankfurt,1.1.2016,126,0.963,0.55
24760,2,5,Germany;Berlin,1.1.2016,123,0.963,0.55
24761,11,5,Germany;Berlin,1.1.2016,121,0.963,0.55
24762,4,7,Germany;Frankfurt,1.1.2016,119,0.963,0.55
24763,6,1,Czech republic;Prague,1.1.2016,117,0.963,0.55
24764,5,7,Germany;Frankfurt,1.1.2016,115,0.963,0.55
24765,7,5,Germany;Berlin,1.1.2016,113,0.963,0.55
24766,9,2,Denmark;Copenhagen,1.1.2016,112,0.963,0.55
24767,9,7,Germany;Frankfurt,1.1.2016,111,0.963,0.55
24768,1,3,Czech republic;Brno,1.1.2016,110,0.963,0.55
24769,10,5,Germany;Berlin,1.1.2016,105,0.963,0.55
24770,1,6,Germany;Dresden,1.1.2016,102,0.963,0.55
24771,6,1,Czech republic;Prague,1.1.2016,98,0.963,0.4
24772,10,7,Germany;Frankfurt,1.1.2016,95,0.963,0.4
24773,4,5,Germany;Berlin,1.1.2016,91,0.963,0.4
24774,1,7,Germany;Frankfurt,1.1.2016,90,0.963,0.4
24775,10,3,Czech republic;Ostrava,1.1.2016,87,0.963,0.4
24776,4,1,Czech republic;Prague,1.1.2016,85,0.963,0.4
24777,10,7,Germany;Frankfurt,1.1.2016,82,0.963,0.4
24778,8,5,Germany;Berlin,1.1.2016,80,0.963,0.4
24779,7,5,Germany;Berlin,1.1.2016,80,0.963,0.4
24780,10,7,Germany;Frankfurt,1.1.2016,78,0.963,0.4
24781,8,2,Denmark;Copenhagen,1.1.2016,74,0.963,0.15
24782,3,5,Germany;Berlin,1.1.2016,73,0.963,0.15
24783,4,7,Germany;Frankfurt,1.1.2016,69,0.963,0.15
24784,3,7,Germany;Frankfurt,1.1.2016,66,0.963,0.15
24785,6,6,Germany;Dresden,1.1.2016,65,0.963,0.15
24786,2,7,Germany;Frankfurt,1.1.2016,64,0.963,0.15
24787,4,6,Germany;Dresden,1.1.2016,64,0.963,0.15
24788,10,4,Germany;Frankfurt,1.1.2016,63,0.963,0.15
24789,11,3,Czech republic;Ostrava,1.1.2016,58,0.963,0.15
24790,2,5,Germany;Berlin,1.1.2016,58,0.963,0.15
24791,11,3,Czech republic;Ostrava,1.1.2016,47,0.963,0.15
24792,5,4,Germany;Frankfurt,1.1.2016,45,0.963,0.15
24793,4,5,Germany;Berlin,1.1.2016,39,0.963,0.15
24794,4,2,Denmark;Copenhagen,1.1.2016,37,0.963,0.15
24795,5,6,Germany;Dresden,1.1.2016,36,0.963,0.15
24796,3,5,Germany;Berlin,1.1.2016,36,0.963,0.15
24797,1,7,Germany;Frankfurt,1.1.2016,34,0.963,0.15
24798,6,2,Denmark;Copenhagen,1.1.2016,34,0.963,0.15
24799,9,6,Germany;Dresden,1.1.2016,29,0.963,0.15
24800,5,5,Germany;Berlin,1.1.2016,28,0.963,0.15
24801,4,6,Germany;Dresden,1.1.2016,27,0.963,0.15
24802,10,3,Czech republic;Ostrava,1.1.2016,26,0.963,0.15
24803,6,4,Germany;Frankfurt,1.1.2016,25,0.963,0.01
24804,3,7,Germany;Frankfurt,1.1.2016,20,0.963,0.01
24805,4,3,Czech republic;Brno,1.1.2016,19,0.963,0.01
24806,5,5,Germany;Berlin,1.1.2016,16,0.963,0.01
24807,1,4,Germany;Frankfurt,1.1.2016,15,0.963,0.01
24808,5,3,Czech republic;Brno,1.1.2016,13,0.963,0.01
24809,8,4,Germany;Frankfurt,1.1.2016,11,0.963,0.01
24810,8,5,Germany;Berlin,1.1.2016,10,0.963,0
24811,8,6,Germany;Dresden,1.1.2016,8,0.963,0
24812,3,5,Germany;Berlin,1.1.2016,4,0.963,0
