fSalesPrimaryKey,ProductID,SalesRepID,Location,Date,Units,PercentOfStandardCost,RevenueDiscount
36943,10,7,Germany;Frankfurt,1.10.2017,60,0.99,0.35
36944,8,2,Denmark;Copenhagen,26.4.2017,71,0.972,0.35
36945,9,6,Germany;Dresden,28.9.2017,68,0.988,0.35
36946,2,5,Germany;Berlin,16.4.2017,157,0.97,0.55
36947,8,2,Denmark;Copenhagen,13.2.2017,103,0.965,0.5
36948,8,1,Czech republic;Prague,3.12.2017,48,0.997,0.25
36949,4,2,Denmark;Copenhagen,26.8.2017,30,0.984,0.25
36950,4,7,Germany;Frankfurt,16.4.2017,57,0.97,0.35
36951,11,4,Germany;Frankfurt,3.11.2017,145,0.994,0.5
36952,5,5,Germany;Berlin,1.1.2017,31,0.954,0.25
36953,9,6,Germany;Dresden,4.3.2017,87,0.964,0.4
36954,9,3,Czech republic;Ostrava,23.4.2017,50,0.973,0.35
36955,3,1,Czech republic;Prague,21.1.2017,72,0.964,0.35
36956,1,5,Germany;Berlin,7.6.2017,76,0.977,0.4
36957,2,5,Germany;Berlin,29.11.2017,71,0.996,0.35
36958,7,2,Denmark;Copenhagen,18.5.2017,138,0.977,0.5
36959,1,1,Czech republic;Prague,27.9.2017,134,0.989,0.5
36960,11,5,Germany;Berlin,13.9.2017,39,0.99,0.25
36961,2,7,Germany;Frankfurt,1.1.2017,35,0.954,0.25
36962,2,4,Germany;Frankfurt,9.4.2017,75,0.974,0.4
36963,3,4,Germany;Frankfurt,12.1.2017,77,0.962,0.4
36964,5,4,Germany;Frankfurt,30.7.2017,39,0.984,0.25
36965,2,5,Germany;Berlin,21.6.2017,36,0.98,0.25
36966,1,5,Germany;Berlin,9.10.2017,75,0.992,0.4
36967,1,4,Germany;Frankfurt,23.10.2017,85,0.993,0.4
36968,3,3,Czech republic;Brno,20.1.2017,62,0.957,0.35
36969,5,6,Germany;Dresden,30.12.2017,139,0.999,0.5
36970,5,1,Czech republic;Prague,2.6.2017,148,0.974,0.5
36971,10,7,Germany;Frankfurt,15.2.2017,117,0.96,0.5
36972,1,2,Denmark;Copenhagen,5.9.2017,35,0.988,0.25
36973,11,6,Germany;Dresden,14.8.2017,167,0.985,0.55
36974,11,6,Germany;Dresden,29.1.2017,50,0.969,0.35
36975,9,3,Czech republic;Ostrava,12.3.2017,64,0.969,0.35
36976,11,3,Czech republic;Ostrava,6.11.2017,91,0.994,0.4
36977,2,3,Czech republic;Brno,19.9.2017,66,0.987,0.35
36978,11,7,Germany;Frankfurt,7.5.2017,45,0.977,0.25
36979,7,6,Germany;Dresden,3.7.2017,27,0.982,0.25
36980,1,7,Germany;Frankfurt,12.9.2017,172,0.987,0.55
36981,8,6,Germany;Dresden,3.5.2017,28,0.972,0.25
36982,9,1,Czech republic;Prague,2.1.2017,3,0.96,0
